GAME_ID,CLUSTER #
436,3
445,10
438,10
499,0
290,10
454,8
443,3
432,3
318,2
324,2
550,11
552,0
898,4
836,4
649,6
527,4
549,11
551,0
912,4
606,3
1284,9
1158,4
1253,8
1423,3
1291,11
1164,9
1271,0
1346,0
1979,6
1971,0
1732,4
2059,9
2060,9
2061,9
2062,9
2266,1
2598,1
2863,3
2901,9
2865,4
2525,10
2893,4
2604,0
2526,2
2885,4
2623,9
2615,8
2984,6
2504,4
3083,10
3327,9
3042,0
3020,0
3164,4
3007,6
3545,1
3907,4
3998,2
3789,10
3951,1
3812,10
3511,0
3663,0
4196,1
4197,1
4113,1
4114,1
4164,4
4774,10
4677,4
4964,0
4849,4
5219,2
5393,2
5214,1
5337,1
5138,3
5845,3
5974,1
6050,9
6027,3
6026,3
6194,1
6119,1
6032,0
6332,10
6882,3
6782,1
6899,1
6819,1
6876,1
7489,9
7174,3
7122,1
7325,4
7243,3
7173,3
7773,0
7541,4
7744,9
7537,4
8221,2
8400,1
8338,4
8220,9
8311,0
8257,10
8600,0
8590,9
9218,3
9330,5
9257,7
9902,2
9616,6
9509,4
9913,3
9814,0
10157,3
10183,4
10221,9
10222,9
10182,0
10158,3
10368,10
10406,10
10224,9
10156,3
10218,9
10859,5
10900,9
10791,4
10501,5
10899,1
11273,4
11121,1
11381,2
11397,9
11627,4
11793,2
11757,9
12060,6
12139,6
12299,3
12157,4
12571,3
13106,4
13022,4
13901,1
14476,4
14298,8
15155,3
15003,10
15897,9
15863,4
15853,6
15917,4
15539,1
16484,2
16096,10
16142,9
16675,9
17123,2
18149,2
18831,1
18735,1
18928,6
18660,4
18918,8
19288,9
19358,2
19085,3
19006,3
19625,3
19716,6
19821,1
19988,3
19510,0
19967,1
19959,0
19991,3
19676,9
19635,1
19596,4
19560,2
20068,11
20089,0
20485,4
20334,1
20579,11
20811,3
21221,2
21097,2
21233,0
21336,1
21429,8
21911,4
22756,2
23108,1
23892,2
23717,0
23879,9
24184,9
24451,0
24156,0
25466,4
25980,4
25747,9
25656,9
25639,6
26273,4
26599,1
27119,3
27123,4
27370,0
27622,9
27536,6
28357,5
30014,0
30226,4
30618,5
34171,0
34582,6
37138,3
37777,4
38118,0
38615,4
38836,1
39497,6
39341,9
39951,1
39544,9
40229,6
40017,9
40924,0
40868,8
40952,3
41418,9
41081,2
41417,9
41560,5
42308,4
42212,11
42705,2
42766,4
42930,4
42611,1
43432,11
43289,9
43460,9
43594,0
44905,3
44653,11
45206,0
45506,0
45626,6
46124,4
46932,6
46577,9
47094,0
47498,1
47248,4
47899,0
47586,3
48008,6
48287,3
48317,1
48201,3
48781,9
48917,3
48881,3
48681,4
48887,9
50729,1
51402,6
52389,10
52190,1
53827,10
53813,5
53814,3
55149,2
55026,0
56455,3
57444,4
57012,0
59354,7
59912,7
59591,3
61665,1
62085,9
62922,0
63346,0
63708,0
64999,9
65896,9
66844,9
67186,3
68437,6
70076,0
70795,4
71387,8
71214,3
72137,0
73211,9
73328,10
75235,3
75593,3
76425,10
76232,1
76882,9
78938,1
81286,1
82055,5
82069,10
82102,4
83850,4
83517,9
83824,2
83825,2
83778,2
85727,6
85747,6
86029,6
87491,0
87208,1
89292,1
90554,0
90575,0
93172,0
93968,11
94078,6
95025,1
95414,2
96154,9
96500,9
97248,9
101028,0
101066,9
103015,9
106984,0
106678,6
109245,9
110541,9
112875,2
115074,3
115067,2
116958,10
117030,1
117883,11
117882,11
119512,9
120726,0
122270,4
123051,4
123354,1
123577,7
123890,5
125461,0
125378,4
126495,9
126779,2
127897,6
129129,0
129851,2
132759,7
132867,0
133004,8
134179,9
135588,9
135673,6
136446,9
136445,9
136474,0
136128,2
136447,9
137298,9
138812,7
138998,0
139399,5
139375,7
139881,5
140054,3
140972,9
141199,2
141072,0
141653,4
142826,4
142837,0
142712,4
143069,1
143510,0
143512,8
143608,3
144128,9
144185,2
144771,4
144572,7
145444,0
145004,10
145308,0
145281,7
145574,9
146076,3
146338,1
146251,1
146058,1
146337,1
146169,4
146677,4
146650,10
147435,0
147276,8
147666,1
147897,1
149693,3
152157,4
154161,9
154625,0
154594,1
160293,0
161448,4
162890,5
163507,0
164665,3
165176,4
165185,9
165172,0
165540,10
166267,0
172438,2
172397,4
172709,6
174286,4
174480,0
174435,0
176064,4
178296,3
180270,4
180762,8
184479,9
184709,3
184813,6
185945,4
185689,9
185706,2
186120,6
187744,3
188071,4
188170,4
189863,0
191688,4
191850,3
192893,6
194783,0
195077,7
195090,7
196608,2
199420,4
199580,0
200602,4
204550,0
204628,6
206671,2
208173,2
212269,1
214459,9
214530,9
216738,0
217594,9
219118,0
220462,10
220885,9
221663,6
222042,0
222983,4
222559,6
223119,2
224438,11
224113,0
224439,0
224699,10
225316,1
225774,6
228359,1
228850,0
229529,9
231153,3
234871,4
235071,9
237501,1
238702,6
240398,8
242036,1
242442,1
242847,1
243782,7
250571,6
251943,9
253485,9
253782,6
253739,1
254884,0
254803,3
255765,0
256684,2
257787,0
257906,3
261594,0
264363,4
266211,0
269520,9
270296,9
278546,3
281531,1
283125,9
283132,9
283716,0
285776,6
289601,9
289865,4
290402,1
293520,0
300524,9
300976,9
301518,9
302915,4
303308,9
304052,4
304146,9
307142,9
316367,4
318870,4
319480,4
